Customer_ID,Transaction_ID,Transaction_Date,Product_Category,Product_Name,Quantity,Unit_Price,Payment_Method,Region,Gender,Age,Unit_Cost
1552,8506,2024-10-27,Groceries,Misc,3,26.24,Debit Card,Kirkuk,Male,29,15.489
482,5372,2024-10-30,Clothing,T-Shirt,10,79.37,PayPal,Kirkuk,Female,59,51.865
169,1729,2024-02-16,Groceries,Misc,7,96.17,PayPal,Najaf,Female,40,64.519
1167,2921,2024-04-07,Sports,Misc,8,46.61,PayPal,Najaf,Male,41,35.774
1717,8760,2024-01-06,Beauty,Foundation,6,6.57,Debit Card,Baghdad,Male,62,5.301
1969,7683,2024-02-28,Books,Textbook,8,87.66,Cash,Baghdad,Male,51,73.428
105,4726,2024-04-06,Home Decor,Curtains,9,45.23,Debit Card,Mosul,Female,38,36.047
615,8933,2024-05-07,Home Decor,Curtains,7,48.85,Debit Card,Najaf,Female,31,42.306
497,2171,2024-08-02,Groceries,Misc,8,75.14,Credit Card,Kirkuk,Male,55,57.031
1382,9349,2024-06-08,Home Decor,Lamp,2,64.84,Debit Card,Erbil,Male,32,49.03
1669,6629,2024-05-14,Books,Biography,3,90.95,Credit Card,Najaf,Male,29,70.123
1760,4960,2024-10-12,Electronics,Smartphone,7,40.41,Credit Card,Najaf,Female,18,26.848
1610,4700,2024-08-29,Books,Cookbook,7,61.69,Debit Card,Kirkuk,Female,24,32.427
463,9087,2024-05-09,Groceries,Misc,2,93.74,Credit Card,Baghdad,Female,58,57.261
33,9886,2024-07-06,Sports,Misc,8,76.54,Credit Card,Mosul,Female,33,41.305
764,6058,2024-10-20,Electronics,Smartphone,8,43.73,Credit Card,Basra,Female,53,27.419
1453,3614,2024-12-04,Sports,Misc,10,57.63,PayPal,Basra,Male,34,50.112
1094,6569,2024-09-27,Groceries,Misc,1,84.95,Cash,Basra,Male,39,48.282
171,6009,2024-01-31,Books,Novel,7,26.14,Cash,Basra,Male,35,19.743
721,5431,2024-04-24,Books,Cookbook,2,36.79,Debit Card,Baghdad,Female,65,21.67
488,8410,2024-03-23,Electronics,Camera,1,43.67,Credit Card,Basra,Female,60,35.425
1981,3780,2024-10-29,Beauty,Lipstick,4,65.49,Credit Card,Kirkuk,Male,23,34.371
938,3551,2024-02-21,Beauty,Perfume,1,77.61,Credit Card,Basra,Male,19,53.396
1097,1000,2024-10-03,Beauty,Foundation,4,81.38,Debit Card,Baghdad,Female,62,42.497
539,2841,2024-11-28,Clothing,Jacket,7,22.24,Debit Card,Mosul,Male,57,14.256
71,9826,2024-09-04,Books,Novel,6,84.18,Cash,Baghdad,Female,49,50.118
223,5221,2024-05-06,Books,Novel,5,80.23,Credit Card,Mosul,Female,23,56.038
1850,8111,2024-06-07,Electronics,Smartphone,1,14.84,Debit Card,Baghdad,Female,49,10.752
1945,5360,2024-05-22,Books,Biography,2,31.18,Cash,Erbil,Male,19,18.256
228,6286,2024-10-02,Electronics,Smartphone,4,34.19,Cash,Erbil,Female,22,23.755
606,9282,2024-02-23,Groceries,Misc,9,67.2,Credit Card,Baghdad,Female,28,35.331
532,6956,2024-07-14,Clothing,T-Shirt,10,53.19,Debit Card,Kirkuk,Female,45,37.622
949,3343,2024-09-23,Beauty,Lipstick,3,27.44,Credit Card,Erbil,Male,31,15.343
1462,9929,2024-08-05,Books,Cookbook,5,53.25,Debit Card,Erbil,Female,60,27.556
755,7014,2024-11-13,Electronics,Camera,9,43.41,Cash,Kirkuk,Female,45,35.328
1614,5249,2024-03-07,Books,Biography,3,99.17,Credit Card,Najaf,Female,52,55.714
317,6781,2024-09-09,Clothing,Dress,4,47.08,Cash,Najaf,Female,20,36.09
1576,3648,2024-11-22,Books,Cookbook,1,64.3,Credit Card,Basra,Male,45,34.037
1314,9048,2024-04-11,Books,Novel,10,46.06,Credit Card,Najaf,Female,53,31.066
553,6427,2024-06-23,Books,Textbook,2,74.52,Debit Card,Basra,Male,44,65.306
65,6936,2024-02-25,Sports,Misc,9,80.31,Credit Card,Basra,Male,54,48.097
1488,5348,2024-01-31,Home Decor,Lamp,2,10.75,Debit Card,Najaf,Male,63,9.435
1109,6580,2024-04-18,Beauty,Mascara,3,57.93,Credit Card,Erbil,Male,33,31.409
406,4961,2024-10-03,Beauty,Lipstick,3,30.29,Credit Card,Kirkuk,Female,26,24.37
1544,9127,2024-06-15,Groceries,Misc,5,67.77,PayPal,Mosul,Female,28,48.825
112,4391,2024-12-08,Home Decor,Candle,1,81.53,Cash,Mosul,Female,24,44.518
1416,6867,2024-03-12,Groceries,Misc,7,97.91,PayPal,Kirkuk,Female,42,65.339
586,9905,2024-11-26,Clothing,Jeans,5,9.79,Debit Card,Erbil,Male,62,6.957
1957,3872,2024-04-25,Groceries,Misc,10,40.35,Debit Card,Basra,Female,19,29.675
1373,7533,2024-10-17,Clothing,Dress,3,24.81,PayPal,Basra,Male,20,18.484
1308,2296,2024-09-24,Beauty,Lipstick,8,18.22,PayPal,Baghdad,Female,31,16.107
1605,5844,2024-09-28,Sports,Misc,10,79.57,Cash,Kirkuk,Male,65,58.567
1914,2157,2024-10-10,Home Decor,Lamp,10,73.04,Debit Card,Kirkuk,Male,58,52.919
10,3187,2024-10-19,Home Decor,Curtains,9,91.59,Credit Card,Mosul,Female,20,50.984
858,7053,2024-06-04,Clothing,Jacket,10,70.69,Cash,Baghdad,Female,21,36.141
6,7295,2024-02-10,Beauty,Foundation,5,75.84,Credit Card,Kirkuk,Male,28,52.898
1183,2028,2024-01-06,Groceries,Misc,5,15.22,Credit Card,Baghdad,Male,62,13.452
280,1354,2024-05-07,Electronics,Laptop,8,90.82,PayPal,Najaf,Female,30,64.567
1561,8189,2024-10-22,Groceries,Misc,8,37.91,Debit Card,Basra,Female,57,24.571
88,5163,2024-10-11,Groceries,Misc,5,76.71,Credit Card,Erbil,Female,64,50.959
470,5849,2024-07-19,Home Decor,Vase,5,91.41,Credit Card,Kirkuk,Male,41,74.234
1734,6522,2024-10-15,Groceries,Misc,1,50.84,Debit Card,Erbil,Male,52,43.275
1218,4821,2024-11-25,Home Decor,Vase,5,81.88,PayPal,Najaf,Male,34,59.126
633,6689,2024-03-12,Groceries,Misc,8,88.06,Cash,Najaf,Female,31,70.205
59,5199,2024-06-25,Home Decor,Vase,6,17.81,Debit Card,Erbil,Female,49,13.984
1172,3441,2024-06-25,Beauty,Lipstick,4,21.35,Credit Card,Mosul,Male,45,12.627
82,8576,2024-02-25,Groceries,Misc,1,22.92,Cash,Basra,Female,61,14.528
457,4724,2024-04-08,Books,Textbook,2,81.63,Debit Card,Mosul,Female,33,57.341
1942,3478,2024-07-12,Electronics,Laptop,6,23.07,PayPal,Basra,Female,65,20.715
800,5865,2024-01-09,Beauty,Perfume,4,11.2,Debit Card,Najaf,Female,55,8.703
1712,6699,2024-08-31,Clothing,Jeans,10,22.38,Cash,Najaf,Male,51,12.85
1909,9219,2024-11-17,Beauty,Lipstick,9,88.04,PayPal,Basra,Male,32,63.101
1284,3122,2024-02-28,Home Decor,Vase,2,24.62,Debit Card,Erbil,Male,29,18.989
807,9183,2024-08-06,Clothing,T-Shirt,5,56.0,Credit Card,Kirkuk,Female,55,34.472
776,2573,2024-09-10,Electronics,Camera,1,12.66,PayPal,Kirkuk,Female,54,7.3
106,1707,2024-08-21,Beauty,Perfume,8,85.94,PayPal,Kirkuk,Female,19,71.384
996,6179,2024-08-20,Clothing,T-Shirt,4,59.79,Debit Card,Erbil,Male,21,41.246
85,7753,2024-06-01,Electronics,Headphones,3,23.23,Cash,Najaf,Male,32,13.255
823,9993,2024-06-02,Sports,Misc,10,55.46,Debit Card,Baghdad,Male,20,31.908
751,7148,2024-03-12,Books,Textbook,8,35.52,Debit Card,Mosul,Female,41,23.576
767,6221,2024-02-13,Electronics,Camera,9,81.76,Debit Card,Basra,Male,25,70.72
461,9552,2024-09-24,Groceries,Misc,6,36.5,Debit Card,Najaf,Female,39,28.736
615,1318,2024-03-19,Sports,Misc,10,37.36,Cash,Baghdad,Female,44,23.593
588,9236,2024-09-10,Electronics,Camera,5,12.38,Credit Card,Mosul,Female,19,8.375
1402,5174,2024-11-18,Books,Novel,6,62.13,PayPal,Baghdad,Male,65,40.992
118,7293,2024-02-21,Books,Cookbook,3,51.07,Debit Card,Baghdad,Female,43,37.4
1079,4250,2024-11-20,Clothing,Jacket,9,43.83,Credit Card,Erbil,Female,23,29.629
1260,2245,2024-06-09,Beauty,Mascara,9,78.78,Debit Card,Najaf,Male,50,50.189
1953,8357,2024-01-29,Electronics,Camera,6,10.89,PayPal,Basra,Female,42,8.52
1238,7094,2024-01-31,Clothing,Dress,9,54.52,Cash,Baghdad,Male,53,35.327
1953,2914,2024-05-14,Sports,Misc,4,71.35,Debit Card,Kirkuk,Female,59,60.684
1212,9555,2024-04-18,Electronics,Laptop,8,91.53,Cash,Basra,Male,18,47.803
891,4894,2024-01-18,Books,Cookbook,2,71.96,Credit Card,Basra,Male,39,53.382
841,9281,2024-12-01,Home Decor,Candle,6,46.03,Credit Card,Kirkuk,Female,59,37.569
1647,6508,2024-11-25,Electronics,Laptop,5,93.41,PayPal,Basra,Female,24,63.118
1579,5763,2024-05-31,Groceries,Misc,5,5.96,Debit Card,Erbil,Female,49,3.667
1473,4621,2024-04-22,Clothing,Jeans,2,53.88,Credit Card,Mosul,Male,23,43.929
568,7055,2024-11-11,Electronics,Headphones,1,36.43,Cash,Basra,Male,39,22.411
846,9492,2024-12-16,Electronics,Camera,7,47.13,PayPal,Kirkuk,Female,25,28.356
1176,4187,2024-10-03,Books,Novel,4,52.16,Cash,Mosul,Male,60,42.242
1089,3380,2024-01-03,Clothing,Jacket,2,72.93,Debit Card,Erbil,Female,20,63.357
1978,2005,2024-11-08,Clothing,Jeans,4,23.57,Cash,Kirkuk,Male,30,15.509
1208,6588,2024-12-20,Clothing,Jeans,1,47.53,Credit Card,Mosul,Male,36,31.969
280,1662,2024-11-12,Groceries,Misc,1,47.2,Credit Card,Najaf,Male,26,24.755
887,1575,2024-04-11,Groceries,Misc,2,89.25,PayPal,Basra,Male,27,74.46
906,8324,2024-02-04,Sports,Misc,10,87.44,PayPal,Najaf,Male,37,60.602
659,3764,2024-01-01,Home Decor,Curtains,8,89.29,Debit Card,Baghdad,Female,39,66.02
1055,8382,2024-04-06,Groceries,Misc,7,42.8,PayPal,Mosul,Male,27,21.774
456,5503,2024-06-09,Electronics,Camera,3,58.5,Cash,Kirkuk,Male,24,42.828
620,4239,2024-04-11,Groceries,Misc,7,7.91,Credit Card,Najaf,Male,27,5.572
1636,5452,2024-06-01,Groceries,Misc,4,92.7,PayPal,Najaf,Male,39,76.079
1447,7238,2024-10-26,Clothing,Jeans,2,54.94,Cash,Basra,Male,48,33.689
1577,3918,2024-04-18,Clothing,Jeans,10,94.18,Cash,Erbil,Female,60,50.408
169,5630,2024-10-16,Sports,Misc,10,36.85,Debit Card,Erbil,Female,49,19.451
353,3982,2024-02-27,Sports,Misc,4,60.08,Cash,Basra,Female,38,45.118
1186,9771,2024-02-15,Sports,Misc,7,44.8,Debit Card,Mosul,Male,58,23.877
733,5903,2024-09-12,Books,Novel,8,12.97,Credit Card,Najaf,Male,43,7.811
60,8007,2024-01-14,Electronics,Camera,1,14.15,Debit Card,Kirkuk,Male,50,9.892
1788,5153,2024-04-20,Clothing,Dress,4,68.22,Debit Card,Basra,Male,28,38.225
1005,4127,2024-09-28,Books,Cookbook,7,51.34,Debit Card,Erbil,Female,34,39.743
459,6408,2024-08-22,Sports,Misc,4,69.83,PayPal,Basra,Female,32,47.452
893,9837,2024-05-16,Beauty,Mascara,4,13.84,PayPal,Kirkuk,Female,36,7.518
1622,8015,2023-12-29,Books,Cookbook,4,86.49,Credit Card,Mosul,Male,29,43.428
753,9956,2024-05-15,Home Decor,Candle,2,72.76,Debit Card,Mosul,Female,33,44.716
405,1134,2024-10-28,Books,Cookbook,8,53.48,PayPal,Erbil,Female,36,29.137
1579,8580,2024-12-06,Clothing,T-Shirt,7,15.42,Cash,Erbil,Male,22,7.942
739,6852,2024-03-16,Home Decor,Lamp,4,87.91,Cash,Baghdad,Female,43,44.182
1630,4429,2024-05-11,Home Decor,Vase,8,32.74,Cash,Basra,Male,18,23.577
1902,2588,2024-02-14,Sports,Misc,3,18.74,PayPal,Erbil,Male,50,13.64
981,6155,2024-09-01,Home Decor,Lamp,4,59.88,Credit Card,Najaf,Male,64,48.914
1084,3211,2024-06-10,Home Decor,Curtains,2,69.14,PayPal,Najaf,Male,42,40.004
1736,3364,2024-08-24,Groceries,Misc,2,87.61,PayPal,Baghdad,Male,29,53.744
741,7518,2024-09-30,Beauty,Lipstick,10,16.65,Cash,Mosul,Male,32,11.352
812,2490,2024-11-11,Groceries,Misc,4,69.76,Debit Card,Baghdad,Male,24,35.62
1778,3766,2024-11-27,Clothing,Dress,7,60.38,Credit Card,Baghdad,Female,64,43.568
85,9045,2024-02-20,Beauty,Lipstick,6,31.87,Credit Card,Erbil,Female,41,18.124
1460,6429,2024-05-16,Beauty,Perfume,2,22.14,PayPal,Erbil,Female,43,12.474
1581,9014,2024-05-27,Beauty,Perfume,5,37.1,Cash,Erbil,Female,19,23.471
125,8452,2024-10-26,Books,Biography,6,89.58,PayPal,Basra,Male,57,46.707
104,6969,2024-12-07,Home Decor,Curtains,7,93.78,Credit Card,Basra,Female,51,67.453
27,9149,2024-01-03,Beauty,Foundation,1,37.48,Credit Card,Erbil,Female,22,33.476
577,9383,2024-09-08,Electronics,Smartphone,6,94.46,Credit Card,Baghdad,Male,37,69.116
505,6291,2024-01-01,Sports,Misc,3,47.21,Debit Card,Mosul,Female,21,32.777
1912,5557,2024-07-10,Electronics,Smartphone,7,63.4,Credit Card,Najaf,Female,56,56.649
1952,2685,2024-11-02,Groceries,Misc,7,53.75,Credit Card,Najaf,Male,29,46.048
672,1785,2024-12-16,Books,Cookbook,9,37.76,Cash,Basra,Female,55,33.724
535,7146,2024-08-13,Electronics,Smartphone,2,22.81,Debit Card,Erbil,Male,63,14.037
1416,7010,2024-02-17,Sports,Misc,5,61.58,Debit Card,Baghdad,Female,40,33.672
1911,6934,2024-10-06,Home Decor,Candle,8,52.1,Credit Card,Baghdad,Male,30,42.828
207,4017,2024-11-05,Beauty,Foundation,6,9.75,Credit Card,Najaf,Male,29,6.317
762,7534,2024-07-29,Groceries,Misc,4,80.65,PayPal,Kirkuk,Male,48,60.194
1692,6676,2024-09-03,Sports,Misc,5,98.42,Credit Card,Mosul,Female,47,63.144
854,3375,2024-04-20,Home Decor,Candle,4,84.3,Debit Card,Basra,Male,49,72.679
653,4600,2024-08-10,Sports,Misc,7,35.86,PayPal,Basra,Male,51,19.803
1697,4443,2024-11-20,Electronics,Camera,4,56.03,PayPal,Mosul,Male,26,46.876
1891,8212,2024-05-17,Electronics,Headphones,2,56.75,Cash,Mosul,Male,44,33.625
49,6156,2024-01-09,Clothing,Jacket,5,99.03,PayPal,Najaf,Male,19,80.21
577,9140,2024-06-03,Home Decor,Curtains,7,11.47,Debit Card,Mosul,Male,41,8.699
52,7225,2024-01-06,Beauty,Foundation,10,62.91,Debit Card,Najaf,Male,60,47.115
1056,8096,2024-06-28,Clothing,T-Shirt,7,71.45,Debit Card,Najaf,Female,26,55.904
839,7109,2024-05-20,Books,Biography,5,73.77,Cash,Mosul,Female,59,55.213
1220,4276,2024-12-16,Clothing,T-Shirt,9,90.93,Cash,Mosul,Male,22,66.087
319,5624,2024-08-14,Groceries,Misc,10,5.14,Debit Card,Mosul,Male,51,4.273
236,6846,2024-06-21,Home Decor,Candle,8,71.81,Credit Card,Baghdad,Female,53,40.017
1004,9362,2024-02-12,Sports,Misc,8,9.75,Debit Card,Baghdad,Male,18,6.162
1688,6051,2024-12-19,Electronics,Camera,6,95.29,Cash,Mosul,Female,30,53.315
326,4060,2024-07-18,Sports,Misc,10,41.57,Credit Card,Najaf,Male,58,33.215
1683,3633,2024-06-14,Home Decor,Candle,6,31.21,Credit Card,Najaf,Male,65,22.54
413,1208,2024-06-04,Sports,Misc,10,63.78,Debit Card,Basra,Female,28,51.992
1411,9208,2024-08-24,Books,Textbook,3,60.03,Credit Card,Najaf,Male,36,44.8
187,5201,2024-05-25,Beauty,Lipstick,3,62.69,Credit Card,Erbil,Female,27,38.953
1169,4309,2024-05-12,Home Decor,Curtains,10,9.15,Debit Card,Najaf,Male,58,5.573
1646,4539,2024-02-29,Clothing,Dress,8,44.15,Debit Card,Mosul,Female,33,28.43
439,7304,2024-08-02,Books,Biography,9,5.73,Debit Card,Najaf,Female,29,4.523
681,8548,2024-03-15,Groceries,Misc,7,92.74,Debit Card,Najaf,Female,23,61.385
602,5866,2024-07-27,Home Decor,Curtains,5,54.19,PayPal,Mosul,Female,21,46.605
814,3288,2024-03-22,Home Decor,Vase,3,6.68,Cash,Mosul,Female,25,5.515
53,7974,2024-11-28,Home Decor,Vase,2,56.32,Credit Card,Mosul,Male,28,35.408
954,1798,2024-10-15,Electronics,Headphones,2,55.23,Credit Card,Erbil,Female,27,37.402
143,6638,2024-11-27,Beauty,Perfume,5,98.28,Cash,Mosul,Male,59,61.43
789,2777,2024-08-10,Beauty,Mascara,5,65.25,Debit Card,Kirkuk,Male,60,57.333
1545,1000,2024-09-27,Clothing,Dress,10,32.5,Cash,Erbil,Male,50,28.318
1591,6669,2024-06-24,Electronics,Headphones,5,33.49,Debit Card,Kirkuk,Male,48,25.044
593,9378,2024-09-13,Home Decor,Candle,8,48.18,PayPal,Basra,Female,25,29.333
52,3305,2024-06-03,Beauty,Foundation,6,88.56,Cash,Mosul,Male,28,63.724
1984,8672,2024-05-05,Beauty,Lipstick,10,80.66,PayPal,Erbil,Male,22,54.482
783,7150,2024-08-22,Groceries,Misc,8,7.23,Credit Card,Mosul,Male,63,5.727
958,9896,2024-08-05,Sports,Misc,3,44.01,Debit Card,Baghdad,Female,38,26.322
1611,6695,2024-08-31,Clothing,Dress,8,20.48,PayPal,Basra,Female,57,17.406
871,9692,2024-12-25,Groceries,Misc,8,23.94,Debit Card,Baghdad,Male,44,12.587
872,1799,2024-03-21,Groceries,Misc,6,43.9,Credit Card,Mosul,Male,30,29.4
39,3667,2024-04-11,Beauty,Mascara,7,87.67,Credit Card,Mosul,Female,57,60.7
1795,8049,2024-02-10,Sports,Misc,7,54.92,Credit Card,Kirkuk,Female,45,34.503
621,6593,2024-10-23,Electronics,Laptop,4,78.46,Debit Card,Kirkuk,Male,46,43.732
334,8982,2024-12-15,Sports,Misc,9,38.07,Debit Card,Basra,Male,63,30.392
18,7117,2024-08-07,Clothing,Dress,3,25.92,Credit Card,Kirkuk,Female,55,22.758
1865,4810,2024-09-14,Home Decor,Lamp,1,77.99,PayPal,Basra,Female,46,60.925
1114,7243,2024-09-25,Books,Textbook,4,45.76,Cash,Erbil,Male,27,30.751
120,5912,2024-11-01,Sports,Misc,9,48.58,PayPal,Kirkuk,Male,56,40.876
1306,1809,2024-11-01,Beauty,Mascara,5,34.45,Debit Card,Baghdad,Female,63,24.408
449,8553,2024-05-27,Home Decor,Curtains,7,78.27,PayPal,Najaf,Male,43,70.141
520,4431,2024-03-18,Clothing,Jeans,5,42.13,Debit Card,Erbil,Female,61,25.613
581,3965,2024-04-09,Sports,Misc,7,58.46,Cash,Najaf,Male,59,49.439
516,3162,2024-10-21,Sports,Misc,8,23.31,Credit Card,Erbil,Female,22,19.364
360,2424,2024-01-30,Electronics,Smartphone,1,93.44,Debit Card,Mosul,Male,19,52.145
3,6710,2024-02-11,Books,Biography,6,50.54,Cash,Kirkuk,Male,47,35.64
1175,4190,2024-05-28,Clothing,Dress,2,56.52,Debit Card,Basra,Male,37,38.809
50,9474,2024-12-11,Home Decor,Candle,9,82.64,Debit Card,Mosul,Male,52,67.228
1876,5284,2024-09-02,Clothing,T-Shirt,10,34.28,Cash,Erbil,Male,22,26.182
1277,3106,2024-12-19,Books,Biography,4,40.34,Credit Card,Najaf,Female,25,25.9
309,3301,2024-04-18,Beauty,Foundation,3,75.03,Debit Card,Kirkuk,Male,18,66.92
1509,3848,2024-11-09,Groceries,Misc,4,17.69,Debit Card,Erbil,Male,62,10.935
817,2204,2024-02-11,Groceries,Misc,9,7.38,Debit Card,Kirkuk,Female,58,6.42
632,3131,2024-01-31,Groceries,Misc,5,88.03,Debit Card,Najaf,Female,46,59.04
745,9078,2024-12-26,Books,Cookbook,10,96.77,Debit Card,Basra,Female,50,60.407
1894,3112,2024-10-17,Electronics,Laptop,4,28.32,Credit Card,Basra,Female,36,14.912
778,5947,2024-07-21,Books,Biography,2,55.49,Debit Card,Erbil,Female,19,31.736
170,3797,2024-11-10,Home Decor,Lamp,4,6.03,PayPal,Kirkuk,Male,56,3.115
1163,3387,2024-09-12,Clothing,Jacket,3,36.2,Credit Card,Basra,Female,36,23.477
1824,4653,2024-01-19,Sports,Misc,9,95.14,Credit Card,Kirkuk,Male,18,75.693
1628,8555,2024-10-18,Home Decor,Lamp,5,58.62,Debit Card,Najaf,Male,46,46.231
1413,8009,2024-03-03,Clothing,Jacket,3,26.62,PayPal,Kirkuk,Male,45,17.079
662,5734,2024-01-09,Beauty,Mascara,6,88.85,Credit Card,Basra,Male,34,71.496
1531,8440,2024-02-11,Home Decor,Curtains,1,22.86,Debit Card,Erbil,Female,39,11.746
192,2566,2024-09-12,Groceries,Misc,10,6.21,Credit Card,Basra,Female,27,3.287
11,4492,2024-01-14,Beauty,Perfume,1,76.02,Cash,Mosul,Female,59,64.53
705,1933,2024-05-22,Home Decor,Candle,5,69.29,Cash,Mosul,Female,43,36.042
949,9309,2024-12-22,Home Decor,Curtains,1,85.26,PayPal,Basra,Female,20,62.069
757,4919,2024-12-22,Groceries,Misc,1,44.76,Debit Card,Najaf,Female,41,26.906
1762,6728,2024-02-02,Electronics,Smartphone,1,5.32,Credit Card,Erbil,Male,47,2.814
1861,2911,2024-10-05,Groceries,Misc,1,51.71,Debit Card,Baghdad,Male,40,42.119
125,5417,2024-06-04,Beauty,Lipstick,8,91.66,Debit Card,Mosul,Female,57,71.396
1274,6401,2024-06-30,Electronics,Laptop,4,59.15,Cash,Basra,Male,37,44.353
947,3625,2024-11-15,Clothing,Jacket,4,66.41,Debit Card,Erbil,Female,22,48.193
306,3864,2024-07-18,Home Decor,Candle,5,10.55,Credit Card,Kirkuk,Female,18,7.771
692,8751,2024-12-21,Clothing,T-Shirt,8,98.48,Cash,Erbil,Female,50,50.549
17,3223,2024-11-10,Electronics,Headphones,6,50.81,Cash,Basra,Female,44,35.333
657,4685,2024-02-20,Home Decor,Lamp,6,32.71,Credit Card,Baghdad,Male,60,20.954
132,9119,2024-02-08,Sports,Misc,4,71.05,Credit Card,Basra,Male,49,44.259
125,1176,2024-02-12,Books,Novel,8,50.15,Debit Card,Mosul,Female,51,27.266
1588,1816,2024-03-23,Groceries,Misc,7,65.32,Credit Card,Kirkuk,Female,32,50.451
340,1265,2024-09-27,Beauty,Foundation,4,77.14,Credit Card,Basra,Male,51,49.235
1753,8947,2024-06-24,Electronics,Camera,7,69.29,PayPal,Najaf,Male,53,37.848
88,8037,2024-12-17,Books,Textbook,3,75.37,PayPal,Baghdad,Male,41,39.273
1987,1125,2024-01-27,Electronics,Headphones,3,69.11,Credit Card,Kirkuk,Female,58,56.179
429,1623,2024-02-14,Beauty,Perfume,9,64.27,Cash,Basra,Female,54,52.889
758,2905,2024-06-23,Home Decor,Candle,10,81.44,Debit Card,Kirkuk,Male,19,59.518
1308,4735,2024-07-08,Sports,Misc,3,87.83,PayPal,Mosul,Male,37,50.37
1975,8755,2024-09-22,Home Decor,Vase,9,57.68,Cash,Basra,Male,48,29.578
1556,8385,2024-01-28,Electronics,Laptop,5,77.81,PayPal,Basra,Female,21,52.489
375,5960,2024-08-25,Electronics,Headphones,2,64.66,PayPal,Erbil,Male,62,51.716
840,7948,2024-05-17,Books,Biography,8,55.78,Debit Card,Mosul,Female,44,36.569
859,7968,2024-04-23,Electronics,Camera,2,29.54,PayPal,Basra,Male,32,26.225
1078,6422,2024-04-23,Groceries,Misc,10,43.5,Debit Card,Erbil,Male,50,35.863
105,9957,2024-10-04,Books,Novel,3,58.95,Credit Card,Erbil,Female,58,38.415
877,3708,2024-07-16,Home Decor,Candle,7,28.71,Debit Card,Erbil,Female,28,24.071
1446,3242,2024-12-17,Groceries,Misc,4,50.69,Credit Card,Mosul,Female,36,39.084
783,7694,2024-03-21,Electronics,Headphones,8,55.85,PayPal,Mosul,Male,62,40.124
1197,4638,2024-03-04,Books,Textbook,1,10.83,PayPal,Erbil,Female,55,8.004
1280,9254,2024-06-02,Home Decor,Lamp,6,72.32,PayPal,Basra,Male,19,56.01
